mpid_twfy,mpid_grdn,mpname,mpparty,mpconstituency,constid_grdn,mpyearentered,percvote,winmajor,nextparty,nextpartyrank
10327,2821,Gerald Kaufman,Labour,"Manchester, Gorton",1112,1970,50.1,6703,Liberal Democrat,122
11823,6647,Lorely Burt,Liberal Democrat,Solihull,1291,2005,42.9,175,Liberal Democrat,2
10295,2563,Lindsay Hoyle,Labour,Chorley,820,1997,43.2,2593,Conservative,162
24947,6012,Iain Stewart,Conservative,Milton Keynes South,1511,2010,41.6,5201,Conservative,27
10086,815,Alan Campbell,Labour,Tynemouth,1385,1997,45.3,5739,Conservative,109
10484,4236,Stephen Pound,Labour,Ealing North,894,1997,50.4,9301,Conservative,185
10185,1549,Clive Efford,Labour,Eltham,924,1997,41.5,1663,Conservative,68
24948,12786,Sarah Newton,Conservative,Truro and Falmouth,1538,2010,41.7,435,Conservative,87
10326,2808,Tessa Jowell,Labour,Dulwich and West Norwood,883,1992,46.6,9365,Liberal Democrat,67
10498,4344,Nick Raynsford,Labour,Greenwich and Woolwich,984,1986,49.2,10153,Conservative,248
13934,11162,Virendra Sharma,Labour,"Ealing, Southall",895,2007,51.5,9291,Liberal Democrat,253
24949,12084,Stella Creasy,Labour,Walthamstow,1398,2010,51.8,9478,Liberal Democrat,187
11715,6047,Mark Lancaster,Conservative,Milton Keynes North,1510,2005,43.5,8961,Conservative,14
11707,9019,John Leech,Liberal Democrat,"Manchester, Withington",1113,2005,44.7,1894,Labour,11
10367,3165,Tony Lloyd,Labour,Manchester Central,1111,1983,52.7,10439,UK Independence Party,84
24950,12053,Chuka Umunna,Labour,Streatham,1345,2010,42.8,3259,Liberal Democrat,102
24952,12394,Angie Bray,Conservative,Ealing Central and Acton,1491,2010,38,3716,Conservative,18
10308,2669,Glenda Jackson,Labour,Hampstead and Kilburn,1497,1992,32.8,42,Liberal Democrat,6
10143,11811,John Cryer,Labour,Leyton and Wanstead,1084,1997,43.6,6416,Conservative,165
10282,2458,Kate Hoey,Labour,Vauxhall,1392,1989,49.8,10651,Liberal Democrat,211
24953,11810,Heidi Alexander,Labour,Lewisham East,1080,2010,43.1,6216,Liberal Democrat,154
24954,12168,Richard Harrington,Conservative,Watford,1409,2010,34.9,1425,Liberal Democrat,10
10383,3825,John McDonnell,Labour,Hayes and Harlington,1009,1997,54.8,10824,Conservative,290
10596,5192,Stephen Timms,Labour,East Ham,901,1994,70.4,27826,Liberal Democrat,289
24955,5754,Matthew Offord,Conservative,Hendon,1013,2010,42.3,106,Conservative,72
10176,1456,Jim Dowd,Labour,Lewisham West and Penge,1507,1992,41.1,5828,Liberal Democrat,115
11921,8859,Lyn Brown,Labour,West Ham,1424,2005,62.7,22534,Liberal Democrat,258
10232,1961,Paul Goggins,Labour,Wythenshawe and Sale East,1461,1997,44.1,7575,Liberal Democrat,142
10519,4559,Joan Ruddock,Labour,"Lewisham, Deptford",1082,1987,53.7,12499,Green Party,6
11640,9255,James Brokenshire,Conservative,Old Bexley and Sidcup,1204,2005,54.1,15857,Labour,132
24956,11724,Teresa Pearce,Labour,Erith and Thamesmead,931,2010,44.9,5703,Conservative,264
24957,10416,Jackie Doyle-Price,Conservative,Thurrock,1369,2010,36.8,92,Conservative,127
10220,1868,Barry Gardiner,Labour,Brent North,754,1997,46.9,8028,Conservative,202
10199,1736,Jim Fitzpatrick,Labour,Poplar and Limehouse,1519,1997,40,6030,Conservative,102
10435,3631,Andrew Miller,Labour,Ellesmere Port and Neston,922,1992,44.7,4331,Conservative,158
11350,6690,Sarah Teather,Liberal Democrat,Brent Central,1479,2003,44.2,1345,Liberal Democrat,114
24958,11344,Rushanara Ali,Labour,Bethnal Green and Bow,705,2010,42.9,11574,Labour,18
10013,110,James Arbuthnot,Conservative,North East Hampshire,1174,1987,60.6,18597,Liberal Democrat,242
24959,5769,Chris White,Conservative,Warwick and Leamington,1408,2010,42.6,3513,Conservative,97
10263,2284,Alan Haselhurst,Conservative,Saffron Walden,1267,1970,55.5,15242,Liberal Democrat,149
10034,334,Alan Beith,Liberal Democrat,Berwick-upon-Tweed,704,1973,43.7,2690,Conservative,233
11791,11017,Jeremy Wright,Conservative,Kenilworth and Southam,1503,2005,53.6,12552,Liberal Democrat,147
24691,11268,Chloe Smith,Conservative,Norwich North,1195,2009,40.6,3901,Conservative,164
24961,12691,Julian Smith,Conservative,Skipton and Ripon,1288,2010,50.6,9950,Liberal Democrat,191
11185,6530,Alan Reid,Liberal Democrat,Argyll and Bute,675,2001,31.6,3431,Labour,46
11511,8696,Jamie Reed,Labour,Copeland,843,2005,46,3833,Conservative,131
10854,5954,Jonathan Djanogly,Conservative,Huntingdon,1038,2001,48.9,10819,Liberal Democrat,200
10542,4783,Keith Simpson,Conservative,Broadland,1481,1997,46.2,7292,Liberal Democrat,53
10089,825,Ronnie Campbell,Labour,Blyth Valley,734,1987,44.5,6668,Liberal Democrat,195
10040,381,John Bercow,Speaker,Buckingham,773,1997,47.3,12529,Liberal Democrat,304
11494,6614,Martin Horwood,Liberal Democrat,Cheltenham,811,2005,50.5,4920,Conservative,6
24962,9160,Guy Opperman,Conservative,Hexham,1020,2010,43.2,5788,Labour,54
24963,12085,Ian Lavery,Labour,Wansbeck,1399,2010,45.9,7031,Liberal Democrat,313
11923,1667,Tim Farron,Liberal Democrat,Westmorland and Lonsdale,1435,2005,60,12264,Conservative,13
10001,4,Diane Abbott,Labour,Hackney North and Stoke Newington,986,1987,55,14461,Liberal Democrat,236
24964,12748,Rory Stewart,Conservative,Penrith and The Border,1218,2010,53.4,11241,Liberal Democrat,228
10913,6996,Michelle Gildernew,Sinn Fein,Fermanagh and South Tyrone,942,2001,45.5,4,Democratic Unionist Party,2
11605,8735,Meg Hillier,Labour,Hackney South and Shoreditch,987,2005,55.7,14288,Conservative,316
10222,1902,Andrew George,Liberal Democrat,St Ives,1327,1997,42.7,1719,Conservative,246
24965,11499,Nigel Mills,Conservative,Amber Valley,673,2010,38.6,536,Conservative,122
24966,5779,David Morris,Conservative,Morecambe and Lunesdale,1141,2010,41.4,866,Conservative,110
11553,8715,Ian Austin,Labour,Dudley North,879,2005,38.7,649,Conservative,105
24967,12602,Eric Ollerenshaw,Conservative,Lancaster and Fleetwood,1505,2010,36.1,333,Conservative,81
11541,6147,Geoffrey Cox,Conservative,Torridge and West Devon,1376,2005,45.7,2957,Liberal Democrat,18
10389,12779,Anne McIntosh,Conservative,Thirsk and Malton,1536,1997,52.9,11281,Liberal Democrat,217
25034,11475,Debbie Abrahams,Labour,Oldham East and Saddleworth,1206,2011,42.1,3558,Liberal Democrat,33
25067,14330,Dan Jarvis,Labour,Barnsley Central,686,2011,60.8,11771,Conservative,327
25120,14333,Jonathan Ashworth,Labour,Leicester South,1074,2011,57.8,12078,Liberal Democrat,29
13904,14338,Paul Maskey,Sinn Fein,Belfast West,703,2011,70.6,13123,Alliance Party of Northern Ireland,12
25145,14341,Iain McKenzie,Labour,Inverclyde,981,2011,53.8,5838,Liberal Democrat,202
25150,14347,Seema Malhotra,Labour,Feltham and Heston,941,2011,54.4,6203,Conservative,189
10218,1864,George Galloway,Respect,Bradford West,750,1987,56.5,10140,Conservative,76
